Column,Non-Null Count,Unique Count,Top Values & Counts,NumReporters,NumCounterparties,NumPairs
FREQ,219427,1,{'Q': 219427},,,
Frequency,219427,1,{'Quarterly': 219427},,,
L_MEASURE,219427,2,"{'S': 173793, 'B': 45634}",,,
Measure,219427,2,"{'Amounts outstanding / Stocks': 173793, 'Break in stocks': 45634}",,,
L_REP_CTY,219427,32,"{'5A': 43462, 'FR': 11336, 'ES': 11101, 'IT': 9337, 'AT': 9074, 'SE': 8732, 'GB': 7771, 'CH': 7622, 'AU': 7524, 'CA': 7218}",,,
Reporting country,219427,32,"{'All reporting countries': 43462, 'France': 11336, 'Spain': 11101, 'Italy': 9337, 'Austria': 9074, 'Sweden': 8732, 'United Kingdom': 7771, 'Switzerland': 7622, 'Australia': 7524, 'Canada': 7218}",,,
CBS_BANK_TYPE,219427,6,"{'4B': 83338, '4R': 82070, '4O': 41240, '4N': 7032, '4C': 5436, '4M': 311}",,,
CBS bank type,219427,6,"{'Domestic banks': 83338, 'Domestic banks(4B), excl. domestic positions': 82070, 'All excluding 4C banks, excl. domestic positions (= 4R + 4Q +4V)': 41240, 'All including 4C banks, excl. domestic positions (=4O + 4C)': 7032, 'Inside-area foreign banks consolidated by their parent': 5436, 'All banks (=4B +4C + 4D +4E)': 311}",,,
CBS_BASIS,219427,4,"{'F': 104218, 'U': 82756, 'Q': 17459, 'O': 14994}",,,
CBS reporting basis,219427,4,"{'Immediate counterparty basis': 104218, 'Guarantor basis': 82756, 'Net risk transfers (Inward-Outward)': 17459, 'Outward risk transfers': 14994}",,,
L_POSITION,219427,10,"{'C': 118175, 'I': 67775, 'X': 10513, 'W': 9923, 'B': 9449, 'M': 1876, 'D': 1046, 'L': 447, 'F': 112, 'K': 111}",,,
Balance sheet position,219427,10,"{'Total claims': 118175, 'International claims': 67775, 'Credit commitments': 10513, 'Guarantees extended': 9923, 'Local claims': 9449, 'Local liabilities': 1876, 'Cross-border claims': 1046, 'Total liabilities': 447, 'Total assets (financial and non-financial)': 112, 'Capital / equity': 111}",,,
L_INSTR,219427,4,"{'A': 211794, 'V': 7410, 'G': 112, 'D': 111}",,,
Type of instruments,219427,4,"{'All instruments': 211794, 'Derivatives': 7410, 'Loans and deposits': 112, 'Debt securities': 111}",,,
REM_MATURITY,219427,4,"{'A': 191585, 'U': 23216, 'N': 2362, 'M': 2264}",,,
Remaining maturity,219427,4,"{'Total (all maturities)': 191585, 'Up to and including 1 year': 23216, 'Over 2 years': 2362, 'Over 1 year and up to and including 2 years': 2264}",,,
CURR_TYPE_BOOK,219427,2,"{'TO1': 209032, 'LC1': 10395}",,,
Currency type of booking location,219427,2,"{'All currencies': 209032, 'Local currency': 10395}",,,
L_CP_SECTOR,219427,8,"{'A': 164909, 'R': 15208, 'B': 12258, 'O': 9971, 'F': 8097, 'H': 3064, 'C': 2987, 'S': 2933}",,,
Counterparty sector,219427,8,"{'All sectors': 164909, 'Non-bank private sector': 15208, 'Banks, total': 12258, 'Official sector': 9971, 'Non-bank financial institutions': 8097, 'Households and NPISHs': 3064, 'Non-financial corporations': 2987, 'Non-financial private sector': 2933}",,,
L_CP_COUNTRY,218558,251,"{'5J': 3285, '3P': 2666, '5C': 1611, 'US': 1550, 'GB': 1545, 'DE': 1524, 'FR': 1486, 'NL': 1483, 'LU': 1473, 'CH': 1457}",,,
Counterparty country,219427,252,"{'All countries (total)': 3285, 'All countries excluding residents': 2666, 'Euro area': 1611, 'United States': 1550, 'United Kingdom': 1545, 'Germany': 1524, 'France': 1486, 'Netherlands': 1483, 'Luxembourg': 1473, 'Switzerland': 1457}",,,
TIME_FORMAT,0,0,{},,,
Time Format,0,0,{},,,
COLLECTION,219427,2,"{'E': 173793, 'V': 45634}",,,
Collection Indicator,219427,2,"{'End of period': 173793, 'Other': 45634}",,,
ORG_VISIBILITY,219427,1,{'E': 219427},,,
Organisation visibility,219427,1,{'Public': 219427},,,
Series,219427,219427,"{'Q:S:AU:4M:F:L:G:A:TO1:A:5J': 1, 'Q:S:GB:4R:F:C:A:A:TO1:A:GI': 1, 'Q:S:GB:4R:F:C:A:A:TO1:A:GA': 1, 'Q:S:GB:4R:F:C:A:A:TO1:A:FR': 1, 'Q:S:GB:4R:F:C:A:A:TO1:A:GD': 1, 'Q:S:GB:4R:F:C:A:A:TO1:A:BO': 1, 'Q:B:ES:4B:F:I:A:A:TO1:A:1C': 1, 'Q:S:GB:4R:F:C:A:A:TO1:A:BN': 1, 'Q:S:GB:4R:F:C:A:A:TO1:A:BS': 1, 'Q:S:GB:4R:F:C:A:A:TO1:A:BR': 1}",,,
1983-Q4,10146,1582,"{1.0: 571, 2.0: 351, 4.0: 200, 3.0: 190, 5.0: 151, 6.0: 144, 8.0: 143, 9.0: 126, 7.0: 122, 12.0: 103}",16.0,167.0,1097
1984-Q2,10060,1577,"{1.0: 484, 2.0: 286, 3.0: 257, 4.0: 190, 5.0: 170, 6.0: 166, 7.0: 154, 8.0: 125, 23.0: 115, 12.0: 100}",16.0,164.0,1085
1984-Q4,10296,1659,"{1.0: 501, 2.0: 278, 3.0: 238, 4.0: 206, 6.0: 162, 9.0: 139, 7.0: 135, 5.0: 132, 8.0: 117, 10.0: 109}",16.0,164.0,1103
1985-Q2,11520,1938,"{1.0: 494, 2.0: 307, 3.0: 238, 4.0: 207, 7.0: 169, 5.0: 168, 6.0: 167, 10.0: 151, 8.0: 135, 14.0: 122}",16.0,164.0,1168
1985-Q4,15641,2141,"{1.0: 793, 2.0: 604, 3.0: 482, 4.0: 378, 5.0: 304, 6.0: 204, 8.0: 201, 9.0: 182, 10.0: 170, 7.0: 164}",18.0,164.0,1324
1986-Q2,13081,2076,"{1.0: 627, 2.0: 369, 3.0: 317, 4.0: 281, 5.0: 208, 6.0: 191, 10.0: 155, 7.0: 142, 12.0: 136, 9.0: 126}",18.0,163.0,1327
