Column,Non-Null Count,Unique Count,Top Values & Counts,NumReporters,NumCounterparties,NumPairs
FREQ,28615,1,{'Q': 28615},,,
Frequency,28615,1,{'Quarterly': 28615},,,
L_MEASURE,28615,1,{'S': 28615},,,
Measure,28615,1,{'Amounts outstanding / Stocks': 28615},,,
L_REP_CTY,28615,28,"{'FR': 2334, 'ES': 2209, 'AU': 2123, 'SE': 1990, 'GB': 1916, 'CH': 1892, 'IT': 1788, 'AT': 1506, 'US': 1378, 'TW': 1343}",,,
Reporting country,28615,28,"{'France': 2334, 'Spain': 2209, 'Australia': 2123, 'Sweden': 1990, 'United Kingdom': 1916, 'Switzerland': 1892, 'Italy': 1788, 'Austria': 1506, 'United States': 1378, 'Chinese Taipei': 1343}",,,
CBS_BANK_TYPE,28615,4,"{'4B': 11707, '4R': 11622, '4O': 5142, '4C': 144}",,,
CBS bank type,28615,4,"{'Domestic banks': 11707, 'Domestic banks(4B), excl. domestic positions': 11622, 'All excluding 4C banks, excl. domestic positions (= 4R + 4Q +4V)': 5142, 'Inside-area foreign banks consolidated by their parent': 144}",,,
CBS_BASIS,28615,4,"{'F': 10227, 'Q': 7080, 'U': 6674, 'O': 4634}",,,
CBS reporting basis,28615,4,"{'Immediate counterparty basis': 10227, 'Net risk transfers (Inward-Outward)': 7080, 'Guarantor basis': 6674, 'Outward risk transfers': 4634}",,,
L_POSITION,28615,1,{'C': 28615},,,
Balance sheet position,28615,1,{'Total claims': 28615},,,
L_INSTR,28615,1,{'A': 28615},,,
Type of instruments,28615,1,{'All instruments': 28615},,,
REM_MATURITY,28615,1,{'A': 28615},,,
Remaining maturity,28615,1,{'Total (all maturities)': 28615},,,
CURR_TYPE_BOOK,28615,1,{'TO1': 28615},,,
Currency type of booking location,28615,1,{'All currencies': 28615},,,
L_CP_SECTOR,28615,1,{'A': 28615},,,
Counterparty sector,28615,1,{'All sectors': 28615},,,
L_CP_COUNTRY,28487,220,"{'DE': 212, 'SG': 209, 'US': 209, 'FR': 208, 'NL': 207, 'GB': 207, 'CH': 206, 'AE': 205, 'LU': 203, 'HK': 202}",,,
Counterparty country,28615,221,"{'Germany': 212, 'United States': 209, 'Singapore': 209, 'France': 208, 'Netherlands': 207, 'United Kingdom': 207, 'Switzerland': 206, 'United Arab Emirates': 205, 'Luxembourg': 203, 'Japan': 202}",,,
TIME_FORMAT,0,0,{},,,
Time Format,0,0,{},,,
COLLECTION,28615,1,{'E': 28615},,,
Collection Indicator,28615,1,{'End of period': 28615},,,
ORG_VISIBILITY,28615,1,{'E': 28615},,,
Organisation visibility,28615,1,{'Public': 28615},,,
Series,28615,28615,"{'Q:S:SE:4B:Q:C:A:A:TO1:A:SM': 1, 'Q:S:AU:4O:O:C:A:A:TO1:A:UA': 1, 'Q:S:AU:4O:O:C:A:A:TO1:A:ZA': 1, 'Q:S:AU:4O:O:C:A:A:TO1:A:UY': 1, 'Q:S:AU:4O:O:C:A:A:TO1:A:UG': 1, 'Q:S:AU:4O:O:C:A:A:TO1:A:US': 1, 'Q:S:AU:4O:O:C:A:A:TO1:A:VN': 1, 'Q:S:AU:4O:O:C:A:A:TO1:A:WF': 1, 'Q:S:AU:4O:O:C:A:A:TO1:A:VE': 1, 'Q:S:AU:4O:O:C:A:A:TO1:A:TR': 1}",,,
1983-Q4,1764,430,"{1.0: 99, 2.0: 72, 4.0: 41, 5.0: 38, 3.0: 36, 6.0: 27, 12.0: 26, 18.0: 24, 13.0: 23, 19.0: 22}",13.0,136.0,806
1984-Q2,1752,427,"{1.0: 87, 3.0: 48, 2.0: 48, 4.0: 46, 5.0: 37, 6.0: 37, 23.0: 35, 12.0: 30, 7.0: 29, 17.0: 23}",13.0,136.0,800
1984-Q4,1790,443,"{1.0: 96, 3.0: 47, 2.0: 43, 4.0: 40, 5.0: 34, 6.0: 32, 12.0: 26, 9.0: 25, 21.0: 23, 8.0: 20}",13.0,136.0,817
1985-Q2,1994,457,"{1.0: 116, 2.0: 76, 4.0: 45, 3.0: 44, 5.0: 38, 6.0: 37, 8.0: 32, 7.0: 28, 14.0: 25, 22.0: 24}",13.0,139.0,898
1985-Q4,2348,521,"{1.0: 140, 2.0: 94, 3.0: 76, 4.0: 64, 6.0: 46, 7.0: 35, 9.0: 32, 5.0: 32, 23.0: 29, 10.0: 29}",15.0,141.0,1019
1986-Q2,2326,530,"{1.0: 132, 2.0: 83, 3.0: 72, 4.0: 70, 6.0: 44, 5.0: 37, 10.0: 34, 9.0: 31, 8.0: 28, 15.0: 26}",15.0,139.0,1011
1986-Q4,2339,518,"{1.0: 103, 2.0: 83, 3.0: 66, 5.0: 54, 7.0: 51, 4.0: 47, 6.0: 42, 8.0: 36, 13.0: 34, 9.0: 30}",15.0,140.0,1013
1987-Q2,2357,528,"{1.0: 108, 3.0: 81, 2.0: 74, 4.0: 53, 9.0: 46, 5.0: 46, 8.0: 45, 7.0: 39, 6.0: 35, 11.0: 33}",15.0,142.0,1019
1987-Q4,2380,537,"{1.0: 136, 2.0: 81, 4.0: 61, 5.0: 56, 3.0: 54, 6.0: 38, 9.0: 38, 10.0: 36, 7.0: 32, 8.0: 30}",15.0,143.0,1031
1988-Q2,2396,521,"{1.0: 114, 2.0: 83, 8.0: 69, 4.0: 63, 3.0: 59, 9.0: 44, 5.0: 41, 10.0: 35, 7.0: 29, 13.0: 29}",15.0,146.0,1038
1988-Q4,2407,537,"{1.0: 127, 2.0: 79, 7.0: 64, 3.0: 60, 10.0: 47, 4.0: 46, 8.0: 43, 6.0: 33, 5.0: 31, 15.0: 30}",15.0,142.0,1043
1989-Q2,2362,525,"{1.0: 126, 2.0: 86, 6.0: 60, 3.0: 50, 7.0: 48, 4.0: 44, 9.0: 36, 11.0: 34, 10.0: 29, 8.0: 28}",15.0,143.0,1027
1989-Q4,2406,523,"{1.0: 152, 2.0: 75, 3.0: 71, 5.0: 41, 10.0: 41, 4.0: 39, 7.0: 33, 6.0: 32, 15.0: 32, 16.0: 32}",15.0,144.0,1044
1990-Q2,2385,530,"{1.0: 118, 3.0: 82, 6.0: 62, 2.0: 58, 5.0: 53, 7.0: 36, 4.0: 36, 8.0: 35, 9.0: 33, 13.0: 31}",15.0,146.0,1037
1990-Q4,2416,537,"{1.0: 123, 5.0: 78, 2.0: 64, 7.0: 51, 4.0: 50, 3.0: 46, 8.0: 40, 6.0: 40, 10.0: 35, 12.0: 35}",15.0,146.0,1046
1991-Q2,2418,530,"{1.0: 125, 2.0: 66, 4.0: 63, 3.0: 62, 6.0: 59, 8.0: 56, 7.0: 52, 10.0: 42, 5.0: 40, 9.0: 36}",15.0,145.0,1045
1991-Q4,2409,548,"{1.0: 117, 3.0: 68, 4.0: 60, 5.0: 59, 2.0: 46, 7.0: 40, 9.0: 39, 6.0: 39, 16.0: 35, 11.0: 33}",15.0,146.0,1042
1992-Q2,2411,548,"{1.0: 125, 4.0: 70, 2.0: 67, 6.0: 54, 3.0: 52, 5.0: 50, 10.0: 36, 13.0: 34, 7.0: 32, 9.0: 31}",15.0,148.0,1043
1992-Q4,2363,561,"{1.0: 116, 2.0: 85, 4.0: 65, 3.0: 56, 6.0: 54, 5.0: 44, 15.0: 36, 10.0: 34, 7.0: 33, 12.0: 32}",15.0,148.0,1024
1993-Q2,2388,551,"{1.0: 116, 2.0: 114, 3.0: 68, 5.0: 53, 4.0: 51, 6.0: 37, 14.0: 35, 10.0: 34, 7.0: 32, 8.0: 31}",15.0,148.0,1038
1993-Q4,2495,560,"{1.0: 153, 2.0: 90, 4.0: 76, 3.0: 62, 7.0: 55, 5.0: 51, 13.0: 42, 6.0: 41, 8.0: 37, 9.0: 30}",15.0,162.0,1082
1994-Q2,2538,565,"{1.0: 170, 2.0: 85, 4.0: 68, 3.0: 61, 5.0: 55, 8.0: 53, 7.0: 47, 6.0: 46, 10.0: 34, 15.0: 32}",15.0,166.0,1102
1994-Q4,2531,562,"{1.0: 157, 3.0: 79, 2.0: 70, 5.0: 67, 4.0: 61, 8.0: 55, 11.0: 46, 12.0: 38, 7.0: 34, 6.0: 33}",15.0,166.0,1099
1995-Q2,2549,597,"{1.0: 153, 2.0: 93, 3.0: 82, 4.0: 78, 5.0: 49, 6.0: 47, 7.0: 35, 11.0: 35, 9.0: 31, 13.0: 30}",15.0,165.0,1101
1995-Q4,2566,591,"{1.0: 154, 2.0: 95, 3.0: 75, 4.0: 73, 5.0: 63, 6.0: 49, 7.0: 45, 11.0: 41, 15.0: 33, 25.0: 31}",15.0,168.0,1113
