FREQ,Frequency,L_MEASURE,Measure,L_POSITION,Balance sheet position,L_INSTR,Type of instruments,L_DENOM,Currency denomination,L_CURR_TYPE,Currency type of reporting country,L_PARENT_CTY,Parent country,L_REP_BANK_TYPE,Type of reporting institutions,L_REP_CTY,Reporting country,L_CP_SECTOR,Counterparty sector,L_CP_COUNTRY,Counterparty country,L_POS_TYPE,Position type,TIME_FORMAT,Time Format,COLLECTION,Collection Indicator,ORG_VISIBILITY,Organisation visibility,Series,1977-Q4,1978-Q1,1978-Q2,1978-Q3,1978-Q4,1979-Q1,1979-Q2,1979-Q3,1979-Q4,1980-Q1,1980-Q2,1980-Q3,1980-Q4,1981-Q1,1981-Q2,1981-Q3,1981-Q4,1982-Q1,1982-Q2,1982-Q3,1982-Q4,1983-Q1,1983-Q2,1983-Q3,1983-Q4,1984-Q1,1984-Q2,1984-Q3,1984-Q4,1985-Q1,1985-Q2,1985-Q3,1985-Q4,1986-Q1,1986-Q2,1986-Q3,1986-Q4,1987-Q1,1987-Q2,1987-Q3,1987-Q4,1988-Q1,1988-Q2,1988-Q3,1988-Q4,1989-Q1,1989-Q2,1989-Q3,1989-Q4,1990-Q1,1990-Q2,1990-Q3,1990-Q4,1991-Q1,1991-Q2,1991-Q3,1991-Q4,1992-Q1,1992-Q2,1992-Q3,1992-Q4,1993-Q1,1993-Q2,1993-Q3,1993-Q4,1994-Q1,1994-Q2,1994-Q3,1994-Q4,1995-Q1,1995-Q2,1995-Q3,1995-Q4,1996-Q1,1996-Q2,1996-Q3,1996-Q4,1997-Q1,1997-Q2,1997-Q3,1997-Q4,1998-Q1,1998-Q2,1998-Q3,1998-Q4,1999-Q1,1999-Q2,1999-Q3,1999-Q4,2000-Q1,2000-Q2,2000-Q3,2000-Q4,2001-Q1,2001-Q2,2001-Q3,2001-Q4,2002-Q1,2002-Q2,2002-Q3,2002-Q4,2003-Q1,2003-Q2,2003-Q3,2003-Q4,2004-Q1,2004-Q2,2004-Q3,2004-Q4,2005-Q1,2005-Q2,2005-Q3,2005-Q4,2006-Q1,2006-Q2,2006-Q3,2006-Q4,2007-Q1,2007-Q2,2007-Q3,2007-Q4,2008-Q1,2008-Q2,2008-Q3,2008-Q4,2009-Q1,2009-Q2,2009-Q3,2009-Q4,2010-Q1,2010-Q2,2010-Q3,2010-Q4,2011-Q1,2011-Q2,2011-Q3,2011-Q4,2012-Q1,2012-Q2,2012-Q3,2012-Q4,2013-Q1,2013-Q2,2013-Q3,2013-Q4,2014-Q1,2014-Q2,2014-Q3,2014-Q4,2015-Q1,2015-Q2,2015-Q3,2015-Q4,2016-Q1,2016-Q2,2016-Q3,2016-Q4,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3
Q,Quarterly,S,Amounts outstanding / Stocks,C,Total claims,G,Loans and deposits,TO1,All currencies,A,All currencies (=D+F+U),5J,All countries (total),A,"All reporting banks/institutions (domestic, foreign, consortium and unclassified)",MO,Macao SAR,A,All sectors,MH,Marshall Islands,N,Cross-border,,,,,,,Q:S:C:G:TO1:A:5J:A:MO:A:MH:N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.39,8.929,14.975,16.956,11.878,7.357,,,,,7.615,20.972,20.972,20.972,20.972,20.972,20.972,20.972,20.972,20.972,26.972,25.813,11.182,16.414,16.035,15.656,,,,,,,,,4.799,,,7.427,10.852,9.914,11.137,6.839,6.692
Q,Quarterly,S,Amounts outstanding / Stocks,C,Total claims,G,Loans and deposits,TO1,All currencies,A,All currencies (=D+F+U),5J,All countries (total),A,"All reporting banks/institutions (domestic, foreign, consortium and unclassified)",MO,Macao SAR,A,All sectors,MN,Mongolia,N,Cross-border,,,,,,,Q:S:C:G:TO1:A:5J:A:MO:A:MN:N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.104,1.292,,,,,,,,,,,,,,
Q,Quarterly,S,Amounts outstanding / Stocks,C,Total claims,G,Loans and deposits,TO1,All currencies,A,All currencies (=D+F+U),5J,All countries (total),A,"All reporting banks/institutions (domestic, foreign, consortium and unclassified)",MO,Macao SAR,A,All sectors,MM,Myanmar,N,Cross-border,,,,,,,Q:S:C:G:TO1:A:5J:A:MO:A:MM:N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.818,2.818
Q,Quarterly,S,Amounts outstanding / Stocks,C,Total claims,G,Loans and deposits,TO1,All currencies,A,All currencies (=D+F+U),5J,All countries (total),A,"All reporting banks/institutions (domestic, foreign, consortium and unclassified)",MO,Macao SAR,A,All sectors,MV,Maldives,N,Cross-border,,,,,,,Q:S:C:G:TO1:A:5J:A:MO:A:MV:N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.305,0.299,0.294,0.289,,,,,,,,,,,,,,,,,,,,,,,,
Q,Quarterly,S,Amounts outstanding / Stocks,C,Total claims,G,Loans and deposits,TO1,All currencies,A,All currencies (=D+F+U),5J,All countries (total),A,"All reporting banks/institutions (domestic, foreign, consortium and unclassified)",MO,Macao SAR,A,All sectors,MU,Mauritius,N,Cross-border,,,,,,,Q:S:C:G:TO1:A:5J:A:MO:A:MU:N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.456,1.033,0.859,0.234,0.059,,350.0,350.4,350.4,350.6,350.6,350.0,350.0,350.0,350.229,350.0,350.0,350.0,350.0,350.0,349.332,250.646,251.727,258.912,245.581,246.648,214.791,200.0,200.0,200.0,200.0,200.0,200.0,220.0,200.0,200.0,200.0,200.0,200.0,200.0,199.093,199.093,199.093,199.093
Q,Quarterly,S,Amounts outstanding / Stocks,C,Total claims,G,Loans and deposits,TO1,All currencies,A,All currencies (=D+F+U),5J,All countries (total),A,"All reporting banks/institutions (domestic, foreign, consortium and unclassified)",MO,Macao SAR,A,All sectors,MT,Malta,N,Cross-border,,,,,,,Q:S:C:G:TO1:A:5J:A:MO:A:MT:N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.093,18.377,16.643,14.888,13.108,11.303,9.479,7.632,5.76,3.864,1.944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q,Quarterly,S,Amounts outstanding / Stocks,C,Total claims,G,Loans and deposits,TO1,All currencies,A,All currencies (=D+F+U),5J,All countries (total),A,"All reporting banks/institutions (domestic, foreign, consortium and unclassified)",MO,Macao SAR,A,All sectors,MZ,Mozambique,N,Cross-border,,,,,,,Q:S:C:G:TO1:A:5J:A:MO:A:MZ:N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.44,31.638,31.636,31.633,31.63,15.826,115.825,115.824,117.343,102.037,102.496,3.425,35.131,34.04,35.124,34.784,34.056,4.571,4.911,4.991,4.991,4.991,,,,,,,,,,,,,,,,,,,,,,
Q,Quarterly,S,Amounts outstanding / Stocks,C,Total claims,G,Loans and deposits,TO1,All currencies,A,All currencies (=D+F+U),5J,All countries (total),A,"All reporting banks/institutions (domestic, foreign, consortium and unclassified)",MO,Macao SAR,A,All sectors,MY,Malaysia,N,Cross-border,,,,,,,Q:S:C:G:TO1:A:5J:A:MO:A:MY:N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.442,41.642,29.636,30.889,352.477,31.338,37.679,40.411,39.925,52.402,56.635,32.585,31.756,146.059,199.621,139.097,185.363,68.468,72.073,105.995,197.54,230.079,242.922,206.904,118.653,86.056,126.331,243.648,126.236,832.956,283.087,50.084,49.341,13.938,188.105,183.677,184.913,500.609,357.48,327.302,327.554,59.769,78.144,64.299
Q,Quarterly,S,Amounts outstanding / Stocks,C,Total claims,G,Loans and deposits,TO1,All currencies,A,All currencies (=D+F+U),5J,All countries (total),A,"All reporting banks/institutions (domestic, foreign, consortium and unclassified)",MO,Macao SAR,A,All sectors,MX,Mexico,N,Cross-border,,,,,,,Q:S:C:G:TO1:A:5J:A:MO:A:MX:N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.045,0.134,,10.525,10.562,13.9,13.275,3.375,3.375,23.375,48.375,48.375,51.375,51.375,51.375,55.375,52.375,52.375,52.375,52.375,38.74,38.74
Q,Quarterly,S,Amounts outstanding / Stocks,C,Total claims,G,Loans and deposits,TO1,All currencies,A,All currencies (=D+F+U),5J,All countries (total),A,"All reporting banks/institutions (domestic, foreign, consortium and unclassified)",MO,Macao SAR,A,All sectors,NG,Nigeria,N,Cross-border,,,,,,,Q:S:C:G:TO1:A:5J:A:MO:A:NG:N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.871,161.871,165.429,165.429,169.065,169.065,,,,,,,,,,0.011,0.01,0.008,0.007,0.005,0.004,,,,,,,,,,,,0.015,0.013,0.01,0.008,0.005,0.003,,,,,,
