Column,Example Unique Values
FREQ,['Q']
Frequency,['Quarterly']
L_MEASURE,['S']
Measure,['Amounts outstanding / Stocks']
L_POSITION,['C']
Balance sheet position,['Total claims']
L_INSTR,['G']
Type of instruments,['Loans and deposits']
L_DENOM,['TO1']
Currency denomination,['All currencies']
L_CURR_TYPE,['A']
Currency type of reporting country,['All currencies (=D+F+U)']
L_PARENT_CTY,['5J']
Parent country,['All countries (total)']
L_REP_BANK_TYPE,['A']
Type of reporting institutions,"['All reporting banks/institutions (domestic, foreign, consortium and unclassified)']"
L_REP_CTY,"['MO' 'ES' 'JE' 'IT' 'SE' 'BR' 'FI' 'MX' 'ZA' 'FR' 'KR' 'GB' 'CA' 'GG'
 'NL' 'CH' 'CL' 'GR' 'LU' 'PH' 'AT' 'TW' 'HK' 'AU' 'US' 'IE' 'DK' 'IM'
 'BE']"
Reporting country,"['Macao SAR' 'Spain' 'Jersey' 'Italy' 'Sweden' 'Brazil' 'Finland' 'Mexico'
 'South Africa' 'France' 'Korea' 'United Kingdom' 'Canada' 'Guernsey'
 'Netherlands' 'Switzerland' 'Chile' 'Greece' 'Luxembourg' 'Philippines'
 'Austria' 'Chinese Taipei' 'Hong Kong SAR' 'Australia' 'United States'
 'Ireland' 'Denmark' 'Isle of Man' 'Belgium']"
L_CP_SECTOR,['A']
Counterparty sector,['All sectors']
L_CP_COUNTRY,"['MH' 'MN' 'MM' 'MV' 'MU' 'MT' 'MZ' 'MY' 'MX' 'NG' 'NZ' 'NP' 'NO' 'NL'
 'PG' 'PE' 'PA' 'OM' 'IE' 'ID' 'HU' 'IN' 'IL' 'JE' 'IT' 'JP' 'KH' 'KZ'
 'KY' 'KW' 'KR' 'LA' 'LU' 'LR' 'LK' 'TR' 'TW' 'UZ' 'US' 'VE' 'WS' 'VN'
 'ZM' 'ZA' 'PL' 'PK' 'PH' 'QA' 'PY' 'PT' 'RU' 'RO' 'SE' 'SC' 'SA' 'SK'
 'SG' 'TH' 'AE' 'AO' 'AU' 'AT' 'AR' 'BD' 'BB' 'DK' 'DJ' 'DE' 'EC' 'FI'
 'ES' 'FR' 'GB' 'GI' 'HK' 'GW' 'BG' 'BE' 'BN' 'BM' 'BS' 'BR' 'CA' 'BZ'
 'CH' 'CN' 'CL' 'CR' 'CY' 'CW' 'TL' 'BO' 'BW' 'BY' 'CF' 'CG' 'CD' 'CM'
 'CI' 'CO' 'CU' 'CV' 'CZ' 'DZ' 'DO' 'DM' 'TN' 'TM' 'TZ' 'TT' 'UY' 'AF'
 'UG' 'AD' 'UA' 'AM' 'VC' 'AL' 'VU' 'BA' 'AW' 'YE' 'AZ' 'BF' 'ZW' 'BJ'
 'BH' 'BI' 'IS' 'IQ' 'IR' 'JO' 'JM' 'KN' 'KE' 'KG' 'KP' 'LB' 'LC' 'LT'
 'LI' 'LY' 'MA' 'LV' 'MK' 'ME' 'MD' 'MG' 'ET' 'EE' 'EG' 'FO' 'TV' 'FJ'
 'GD' 'GA' 'GH' 'GE' 'GG' 'GN' 'GQ' 'GM' 'KI' 'GR' 'GT' 'HT' 'HN' 'HR'
 'IM' 'GL' 'PS' 'RS' 'SD' 'RW' 'SI' 'SN' 'SM' 'SL' 'ST' 'TC' 'SZ' 'SY'
 'MO' 'ML' 'MR' 'MW' 'NE' 'NI' 'SV' 'SX' 'TD' 'TJ' 'TG' 'NC' 'PF' 'GY'
 'FK' 'AG' 'SO' 'VG' 'VA' 'SR' 'BQ' 'ER' 'CS' 'PU' 'AN' 'LS' 'NR' 'SH'
 'BT' 'AI' 'PW' 'KM' 'TF' 'SS' 'WF' 'SB' 'TO' 'FM' 'MS' 'YU']"
Counterparty country,"['Marshall Islands' 'Mongolia' 'Myanmar' 'Maldives' 'Mauritius' 'Malta'
 'Mozambique' 'Malaysia' 'Mexico' 'Nigeria' 'New Zealand' 'Nepal' 'Norway'
 'Netherlands' 'Papua New Guinea' 'Peru' 'Panama' 'Oman' 'Ireland'
 'Indonesia' 'Hungary' 'India' 'Israel' 'Jersey' 'Italy' 'Japan'
 'Cambodia' 'Kazakhstan' 'Cayman Islands' 'Kuwait' 'Korea' 'Laos'
 'Luxembourg' 'Liberia' 'Sri Lanka' 'Türkiye' 'Chinese Taipei'
 'Uzbekistan' 'United States' 'Venezuela' 'Samoa' 'Vietnam' 'Zambia'
 'South Africa' 'Poland' 'Pakistan' 'Philippines' 'Qatar' 'Paraguay'
 'Portugal' 'Russia' 'Romania' 'Sweden' 'Seychelles' 'Saudi Arabia'
 'Slovakia' 'Singapore' 'Thailand' 'United Arab Emirates' 'Angola'
 'Australia' 'Austria' 'Argentina' 'Bangladesh' 'Barbados' 'Denmark'
 'Djibouti' 'Germany' 'Ecuador' 'Finland' 'Spain' 'France'
 'United Kingdom' 'Gibraltar' 'Hong Kong SAR' 'Guinea-Bissau' 'Bulgaria'
 'Belgium' 'Brunei' 'Bermuda' 'The Bahamas' 'Brazil' 'Canada' 'Belize'
 'Switzerland' 'China' 'Chile' 'Costa Rica' 'Cyprus' 'Curaçao'
 'East Timor' 'Bolivia' 'Botswana' 'Belarus' 'Central African Republic'
 'Republic of Congo' 'Democratic Republic of the Congo' 'Cameroon'
 ""Côte d'Ivoire"" 'Colombia' 'Cuba' 'Cabo Verde' 'Czechia' 'Algeria'
 'Dominican Republic' 'Dominica' 'Tunisia' 'Turkmenistan' 'Tanzania'
 'Trinidad and Tobago' 'Uruguay' 'Afghanistan' 'Uganda' 'Andorra'
 'Ukraine' 'Armenia' 'St Vincent and the Grenadines' 'Albania' 'Vanuatu'
 'Bosnia and Herzegovina' 'Aruba' 'Yemen' 'Azerbaijan' 'Burkina Faso'
 'Zimbabwe' 'Benin' 'Bahrain' 'Burundi' 'Iceland' 'Iraq' 'Iran' 'Jordan'
 'Jamaica' 'St Kitts and Nevis' 'Kenya' 'Kyrgyz Republic' 'North Korea'
 'Lebanon' 'St Lucia' 'Lithuania' 'Liechtenstein' 'Libya' 'Morocco'
 'Latvia' 'North Macedonia' 'Montenegro' 'Moldova' 'Madagascar' 'Ethiopia'
 'Estonia' 'Egypt' 'Faeroe Islands' 'Tuvalu' 'Fiji' 'Grenada' 'Gabon'
 'Ghana' 'Georgia' 'Guernsey' 'Guinea' 'Equatorial Guinea' 'The Gambia'
 'Kiribati' 'Greece' 'Guatemala' 'Haiti' 'Honduras' 'Croatia'
 'Isle of Man' 'Greenland' 'Palestinian Territory' 'Serbia' 'Sudan'
 'Rwanda' 'Slovenia' 'Senegal' 'San Marino' 'Sierra Leone'
 'São Tomé and Príncipe' 'Turks and Caicos Islands' 'Eswatini' 'Syria'
 'Macao SAR' 'Mali' 'Mauritania' 'Malawi' 'Niger' 'Namibia' 'Nicaragua'
 'El Salvador' 'Sint Maarten' 'Chad' 'Tajikistan' 'Togo' 'New Caledonia'
 'French Polynesia' 'Guyana' 'Falkland Islands' 'Antigua and Barbuda'
 'Somalia' 'British Virgin Islands' 'Vatican City State' 'Suriname'
 'Bonaire, Sint Eustatius and Saba' 'Eritrea' 'Serbia and Montenegro'
 'U.S. Miscellaneous Pacific Islands' 'Netherlands Antilles' 'Lesotho'
 'Nauru' 'St Helena, Ascension and Tristan da Cunha' 'Bhutan' 'Anguilla'
 'Palau' 'Comoros' 'French Southern Territories' 'South Sudan'
 'Wallis and Futuna Islands' 'Solomon Islands' 'Tonga' 'Micronesia'
 'Montserrat' 'Yugoslavia']"
L_POS_TYPE,['N']
Position type,['Cross-border']
TIME_FORMAT,0 instances
Time Format,0 instances
COLLECTION,0 instances
Collection Indicator,0 instances
ORG_VISIBILITY,0 instances
Organisation visibility,0 instances
Series,4654 unique values (too many to display)
1977-Q4,0 instances
1978-Q1,0 instances
1978-Q2,0 instances
1978-Q3,0 instances
1978-Q4,0 instances
1979-Q1,0 instances
1979-Q2,0 instances
1979-Q3,0 instances
1979-Q4,0 instances
1980-Q1,0 instances
1980-Q2,0 instances
1980-Q3,0 instances
1980-Q4,0 instances
1981-Q1,0 instances
1981-Q2,0 instances
1981-Q3,0 instances
1981-Q4,0 instances
1982-Q1,0 instances
1982-Q2,0 instances
1982-Q3,0 instances
1982-Q4,0 instances
1983-Q1,0 instances
1983-Q2,0 instances
1983-Q3,0 instances
1983-Q4,0 instances
1984-Q1,0 instances
1984-Q2,0 instances
1984-Q3,0 instances
1984-Q4,0 instances
1985-Q1,0 instances
1985-Q2,0 instances
1985-Q3,0 instances
1985-Q4,0 instances
1986-Q1,0 instances
1986-Q2,0 instances
1986-Q3,0 instances
1986-Q4,0 instances
1987-Q1,0 instances
1987-Q2,0 instances
1987-Q3,0 instances
1987-Q4,0 instances
1988-Q1,0 instances
1988-Q2,0 instances
1988-Q3,0 instances
1988-Q4,0 instances
1989-Q1,0 instances
1989-Q2,0 instances
1989-Q3,0 instances
1989-Q4,0 instances
1990-Q1,0 instances
1990-Q2,0 instances
1990-Q3,0 instances
1990-Q4,0 instances
1991-Q1,0 instances
1991-Q2,0 instances
1991-Q3,0 instances
1991-Q4,0 instances
1992-Q1,0 instances
1992-Q2,0 instances
1992-Q3,0 instances
1992-Q4,0 instances
1993-Q1,0 instances
1993-Q2,0 instances
1993-Q3,0 instances
1993-Q4,0 instances
1994-Q1,0 instances
1994-Q2,0 instances
1994-Q3,0 instances
1994-Q4,0 instances
1995-Q1,0 instances
1995-Q2,0 instances
1995-Q3,0 instances
1995-Q4,1104 instances
1996-Q1,1114 instances
1996-Q2,1130 instances
1996-Q3,1141 instances
1996-Q4,1152 instances
1997-Q1,1156 instances
1997-Q2,1155 instances
1997-Q3,1178 instances
1997-Q4,1218 instances
1998-Q1,1221 instances
1998-Q2,1212 instances
1998-Q3,1234 instances
1998-Q4,1215 instances
1999-Q1,1251 instances
1999-Q2,1243 instances
1999-Q3,1246 instances
1999-Q4,1267 instances
2000-Q1,1266 instances
2000-Q2,1264 instances
2000-Q3,1205 instances
2000-Q4,1326 instances
2001-Q1,1323 instances
2001-Q2,1329 instances
2001-Q3,1338 instances
2001-Q4,1498 instances
2002-Q1,1488 instances
2002-Q2,1501 instances
2002-Q3,1490 instances
2002-Q4,1584 instances
2003-Q1,1648 instances
2003-Q2,1643 instances
2003-Q3,1648 instances
2003-Q4,1758 instances
2004-Q1,1769 instances
2004-Q2,1767 instances
2004-Q3,1781 instances
2004-Q4,1808 instances
2005-Q1,1910 instances
2005-Q2,1908 instances
2005-Q3,1932 instances
2005-Q4,1968 instances
2006-Q1,1980 instances
2006-Q2,1983 instances
2006-Q3,1999 instances
2006-Q4,2005 instances
2007-Q1,2018 instances
