step,Log-RMSE_arima_parralel_df,Log-RMSE_light_gbm_iter_df,Log-RMSE_light_gbm_stats_df,Log-RMSE_lstm1_predictions_100epochs_df,Log-RMSE_lstm1_predictions_200epochs_df,Log-RMSE_lstm1_predictions_500epochs_df,Log-RMSE_lstm1_predictions_50epochs_df,Log-RMSE_lstm2_predictions_100epochs_df,Log-RMSE_lstm2_predictions_200epochs_df,Log-RMSE_lstm2_predictions_500epochs_df,Log-RMSE_lstm2_predictions_50epochs_df,Log-RMSE_lstm_blocks_20feat_100ep_df,Log-RMSE_lstm_blocks_20feat_200ep_df,Log-RMSE_lstm_blocks_20feat_500ep_df,Log-RMSE_lstm_blocks_40feat_100ep_df,Log-RMSE_lstm_blocks_40feat_200ep_df,Log-RMSE_lstm_blocks_40feat_500ep_df,Log-RMSE_lstm_blocks_4feat_100ep_df,Log-RMSE_lstm_blocks_4feat_200ep_df,Log-RMSE_lstm_blocks_4feat_500ep_df,Log-RMSE_lstm_blocks_8feat_100ep_df,Log-RMSE_lstm_blocks_8feat_200ep_df,Log-RMSE_lstm_blocks_8feat_500ep_df,Log-RMSE_naive_df,Log-RMSE_seasonal_naive_df,Log-RMSE_seasonal_window_average_df,Log-RMSE_vector_lstm_preds_100epochs_df,Log-RMSE_vector_lstm_preds_200epochs_df,Log-RMSE_vector_lstm_preds_500epochs_df,Log-RMSE_vector_lstm_preds_50epochs_df,RMSE_arima_parralel_df,RMSE_light_gbm_iter_df,RMSE_light_gbm_stats_df,RMSE_lstm1_predictions_100epochs_df,RMSE_lstm1_predictions_200epochs_df,RMSE_lstm1_predictions_500epochs_df,RMSE_lstm1_predictions_50epochs_df,RMSE_lstm2_predictions_100epochs_df,RMSE_lstm2_predictions_200epochs_df,RMSE_lstm2_predictions_500epochs_df,RMSE_lstm2_predictions_50epochs_df,RMSE_lstm_blocks_20feat_100ep_df,RMSE_lstm_blocks_20feat_200ep_df,RMSE_lstm_blocks_20feat_500ep_df,RMSE_lstm_blocks_40feat_100ep_df,RMSE_lstm_blocks_40feat_200ep_df,RMSE_lstm_blocks_40feat_500ep_df,RMSE_lstm_blocks_4feat_100ep_df,RMSE_lstm_blocks_4feat_200ep_df,RMSE_lstm_blocks_4feat_500ep_df,RMSE_lstm_blocks_8feat_100ep_df,RMSE_lstm_blocks_8feat_200ep_df,RMSE_lstm_blocks_8feat_500ep_df,RMSE_naive_df,RMSE_seasonal_naive_df,RMSE_seasonal_window_average_df,RMSE_vector_lstm_preds_100epochs_df,RMSE_vector_lstm_preds_200epochs_df,RMSE_vector_lstm_preds_500epochs_df,RMSE_vector_lstm_preds_50epochs_df,SMAPE_arima_parralel_df,SMAPE_light_gbm_iter_df,SMAPE_light_gbm_stats_df,SMAPE_lstm1_predictions_100epochs_df,SMAPE_lstm1_predictions_200epochs_df,SMAPE_lstm1_predictions_500epochs_df,SMAPE_lstm1_predictions_50epochs_df,SMAPE_lstm2_predictions_100epochs_df,SMAPE_lstm2_predictions_200epochs_df,SMAPE_lstm2_predictions_500epochs_df,SMAPE_lstm2_predictions_50epochs_df,SMAPE_lstm_blocks_20feat_100ep_df,SMAPE_lstm_blocks_20feat_200ep_df,SMAPE_lstm_blocks_20feat_500ep_df,SMAPE_lstm_blocks_40feat_100ep_df,SMAPE_lstm_blocks_40feat_200ep_df,SMAPE_lstm_blocks_40feat_500ep_df,SMAPE_lstm_blocks_4feat_100ep_df,SMAPE_lstm_blocks_4feat_200ep_df,SMAPE_lstm_blocks_4feat_500ep_df,SMAPE_lstm_blocks_8feat_100ep_df,SMAPE_lstm_blocks_8feat_200ep_df,SMAPE_lstm_blocks_8feat_500ep_df,SMAPE_naive_df,SMAPE_seasonal_naive_df,SMAPE_seasonal_window_average_df,SMAPE_vector_lstm_preds_100epochs_df,SMAPE_vector_lstm_preds_200epochs_df,SMAPE_vector_lstm_preds_500epochs_df,SMAPE_vector_lstm_preds_50epochs_df,WMAPE_arima_parralel_df,WMAPE_light_gbm_iter_df,WMAPE_light_gbm_stats_df,WMAPE_lstm1_predictions_100epochs_df,WMAPE_lstm1_predictions_200epochs_df,WMAPE_lstm1_predictions_500epochs_df,WMAPE_lstm1_predictions_50epochs_df,WMAPE_lstm2_predictions_100epochs_df,WMAPE_lstm2_predictions_200epochs_df,WMAPE_lstm2_predictions_500epochs_df,WMAPE_lstm2_predictions_50epochs_df,WMAPE_lstm_blocks_20feat_100ep_df,WMAPE_lstm_blocks_20feat_200ep_df,WMAPE_lstm_blocks_20feat_500ep_df,WMAPE_lstm_blocks_40feat_100ep_df,WMAPE_lstm_blocks_40feat_200ep_df,WMAPE_lstm_blocks_40feat_500ep_df,WMAPE_lstm_blocks_4feat_100ep_df,WMAPE_lstm_blocks_4feat_200ep_df,WMAPE_lstm_blocks_4feat_500ep_df,WMAPE_lstm_blocks_8feat_100ep_df,WMAPE_lstm_blocks_8feat_200ep_df,WMAPE_lstm_blocks_8feat_500ep_df,WMAPE_naive_df,WMAPE_seasonal_naive_df,WMAPE_seasonal_window_average_df,WMAPE_vector_lstm_preds_100epochs_df,WMAPE_vector_lstm_preds_200epochs_df,WMAPE_vector_lstm_preds_500epochs_df,WMAPE_vector_lstm_preds_50epochs_df
0,4.544350215040996,5.723059363821505,8.324324925021179,4.837418848774597,6.727626255112056,6.670584625883767,3.332073402232476,7.009572332613268,7.56409026946054,7.634739595952275,5.64266771204251,5.68924045249579,5.600981712642774,5.655005101155148,5.380547545418025,5.856110242012775,5.810589169783917,5.6960856221870815,6.003912126671343,6.25293525453421,5.142777657177388,5.621477545644831,5.543352479023878,3.8645178139501657,4.5770101669118395,5.262243706458141,5.872407931628956,5.553942254757515,5.66394390915917,5.845979692254057,1298.347609634693,4780.719371239634,12430.714556862438,2143.188109604346,11161.12213327702,2625.9665206865507,6137.0365946439715,7372.175727697084,11825.604430839488,4449.958908990508,9332.11122290658,12256.479422718632,16026.431302844278,14600.999750492738,8618.842998114049,9215.17791812094,12947.808854401517,14388.951875875524,13256.415485632742,11180.596759428185,15491.723962241591,17612.675337426284,17728.63800290109,24309.320877580325,36016.67651222482,38010.36909042252,29082.324818770394,26964.77014324622,25392.556555887943,23621.623031514824,69.20860763707523,76.11947130529822,160.04875799293907,70.0839082160441,81.70856794398762,82.9398708955742,68.7837396764979,90.75262385826463,95.5680218181198,98.08416092908317,87.3725501850256,101.68066316396667,103.34508323862003,103.1625162075545,100.84863772949608,103.28716574405404,103.76608508586675,98.80064577056905,102.47310669209017,104.34689416803032,97.99919545944198,100.99716564635757,101.898187687333,36.860032692957155,51.83499405414395,72.69195592149862,115.03877136684571,115.9375612088939,114.37868271909532,107.65229541764354,0.042559918528242986,0.09549579048712246,0.7441085032727975,0.07104341083943481,0.22019125525213848,0.0901135094942718,0.14899641754168114,0.1720991986680924,0.2190921445533529,0.12175442815646803,0.19129059082031902,0.21739669251048058,0.26767545275714716,0.24927774484022658,0.15809563229289603,0.16095864880028876,0.22616739143438022,0.2566702066648365,0.24754612502246154,0.2164611630203061,0.26011000686106867,0.291820952436021,0.30115411102933726,0.07411387599021439,0.09533113438628443,0.13101647112440307,0.4835712198488283,0.45714942690995136,0.43334132387006796,0.3955000554131627
1,5.64701803000546,5.694763470270035,5.567616153996613,5.082241836181727,7.105895924266622,7.166140056624953,4.233291911256629,6.4400271130409,7.527563967257003,7.800534995775099,5.5216740314490815,6.020816461956541,5.899304338575193,5.648007927472702,5.936417590038572,6.056527622928576,6.30417410581884,6.016866344029041,6.319557345892418,6.670222691932883,5.861684663618196,6.318602120560775,6.007051445304089,4.18853851168041,4.663723145012314,5.267313422544626,5.765861361951805,5.806203711370655,6.358941295806611,5.536602887942763,6265.5744355192755,3580.114690226236,7470.744988491849,7338.114223204532,24533.303881403015,11491.706330661103,10170.611781272979,6971.922407607929,19841.253331396572,13987.870840562624,9121.597723197752,12763.627856242914,16372.862083132102,16288.049734656102,10754.40658888648,11077.437289752706,15373.277914667062,15819.733475314722,14426.760734761596,12186.131971162731,15867.759086534534,17468.63571816338,20057.849588262023,27326.67625572367,35081.21998201722,43083.302723313594,33422.3778121108,32178.179840737637,30262.932407637953,28296.712095746516,76.41986265570644,73.92069849907367,81.25768741240448,77.86247121215384,86.20226948652633,90.72147033071329,75.72410253489778,94.06599262793726,101.2086362244632,107.4387404638096,95.50108242891775,102.29237441326822,105.41398006693925,106.61828421902575,104.39639627123398,106.51157570498285,106.50612186235495,101.81786433803327,103.31751817305181,106.01301063692729,101.78055346370665,104.7084892540328,104.89872379835813,42.56890531573481,51.27103698502138,71.37700763748012,119.74763621787197,118.471531649539,124.03275298650141,111.39925227651494,0.1265534836257926,0.07523096799035682,0.3283278456335638,0.15849076342528157,0.46986502199619007,0.2589918861681823,0.24333490135598904,0.17082439782613099,0.37045160773068514,0.23936557373500378,0.1895295267989154,0.22536686849242937,0.27169139172925094,0.27362412574317213,0.1933801040838454,0.1868440334712583,0.25448187469299943,0.2764970860061808,0.2667438151929202,0.2349180535067687,0.27235400252127573,0.29813096161370406,0.3364066136846522,0.08951685980590188,0.10255767733188065,0.14474941225813276,0.5459301460034255,0.5292782570214256,0.5040393205913088,0.4695095879398416
2,5.2204925684653265,5.7284919816349325,5.525868768422075,4.588199338538019,6.366010096383568,6.767099861734363,4.293412920703043,6.261098147518607,6.770601469134645,6.685887752221965,5.462420757671158,5.389853007423486,5.291059372409955,5.102057437715162,5.458909332789118,6.191400306782741,5.87601888638274,5.790804158211454,6.1822484998744205,6.015752894015079,5.0106017146040305,6.016597641955149,5.573894219381491,4.42818971559328,4.54977131338948,5.327777969229877,5.652875527635415,5.742268851600977,6.105196356297853,5.802286138261171,10943.120448989257,3137.7227769521537,7519.3592699695355,11337.130545450646,237226.19668748157,90616.87811167235,13508.775574233454,10655.073515598055,40495.78097568573,69218.13343122935,7788.176963440735,13062.86293898394,14601.068654008332,13900.598411152048,9740.912451656908,10742.56831705814,12970.576839703512,15376.835036679837,13617.416712450193,11230.339172812903,12906.084542073362,14562.270301087885,15289.178704961487,39739.76729729071,43814.45531118846,52954.02024403846,32328.80763392861,31512.1267814296,27384.636531234024,24322.444094794628,74.06555391421978,71.90081895793394,75.87477441683467,79.60267243158171,91.95133526758494,97.69877351091996,76.07389642299142,98.86747785483749,103.12337603629618,103.9854688174855,97.04174400213859,103.28756596679747,105.82367826721865,106.79621692444428,105.33457607463757,105.96910121772648,106.79150734511336,101.55441968546994,103.40174946769187,105.289947797357,99.16036434902428,103.99035285249178,103.55684861293028,46.92562023777194,50.6648567930857,72.8387609548591,115.2617640654674,115.91056972416239,122.79149947703813,104.68087156288671,0.19338625080770883,0.06548286520233929,0.330558547083865,0.2375923024569514,3.763834062372224,1.2748093260372306,0.300836046307839,0.28913686229327346,0.7111301285942891,0.8608308640673903,0.1779303222703613,0.2347339200443202,0.25664767346590045,0.2500679503797508,0.18831308815320966,0.20658781258653303,0.24240324947530498,0.27663143855457895,0.25693275277629546,0.22314129225847,0.237745768036818,0.2670796619021278,0.27951740815382436,0.12756941337138183,0.13971589539617243,0.17238018447848735,0.5382823279427759,0.5291827648906061,0.47354584706619857,0.41699051774456014
3,5.76858690980048,4.277494399579458,5.266364742500654,4.395062107328162,6.717273724671292,6.910314902065713,4.7786214933652795,6.269375264941525,6.660792728129668,6.6443629137160904,5.889193344272986,5.811083257322769,5.7500146537215295,5.707033195894593,6.191955895732332,6.727073533408071,5.78181629124648,5.959821734541431,6.076580861729266,6.101924828165499,5.8666193344744,6.510807453404062,6.170720930589185,4.558290531081417,4.558290531081417,5.27667890213534,6.015458956609057,6.174888197459443,6.52574784630277,5.802167142632907,13198.240473526665,2259.04149723969,7697.902838620039,14558.920308238743,1358606.0252458747,480121.4795972505,16698.510401946543,30792.06857608128,99066.17533373396,325742.0466987889,5280.76736642985,13568.031973969973,14383.210892412862,12237.993641853469,11268.139380270191,12381.140984431375,12719.778824518637,14374.339198504364,12584.88129088833,10167.917535761979,11273.797328135817,13044.121618294785,13569.83627475336,50327.08825937051,50327.08825937051,56905.96031854542,26039.063508271265,25225.490576649532,16995.886237760515,16694.034311515912,86.67193690605576,68.0305268107386,76.15234621831067,93.52939569050164,101.85828818296542,104.33952753141271,91.68936244498079,99.9687909328418,106.1760272927443,105.84312263409541,101.23159042142092,107.74843502819121,111.50713934132872,111.54422801487132,107.7470477321465,111.03518547512114,108.45149252910386,106.9154488951535,107.0163053011076,109.77195033720338,108.23244938365195,108.1807668791107,108.83843412922293,51.07810850634395,51.07810850634395,71.38534236828797,108.43756387340846,111.716145255893,121.16583507435435,102.77630678650928,0.22030176051097974,0.049125203260969044,0.3379928266459261,0.33458594291716043,14.244615913508632,5.168939075795808,0.3507424648275873,0.6411168851723456,1.8983867870602273,3.48115372899588,0.1262703479564398,0.2353769487148645,0.2540171983404647,0.2262318711692551,0.20714763425575985,0.2329229700665453,0.24405446538704398,0.2582110435383687,0.23437149205026725,0.19840666051603917,0.21158288518309523,0.24567161745967928,0.25471815501844186,0.15728068788666058,0.15728068788666058,0.17757164073382345,0.4399958283725403,0.4347641826642536,0.31280709617980457,0.2913922756909428
4,6.125721745826864,4.657098182059027,5.28565619333211,5.298230734403334,6.729601132809642,6.846323940610048,5.054485778023001,6.26505487401973,6.981017526597909,7.005609268714119,5.024994949273638,5.514186720086548,5.246762123030023,5.6392605074535185,5.331748959039905,5.840028893468218,5.971203418648478,5.872088019752777,6.078828109014762,6.398329243612309,5.3819783794976646,5.4690144666477725,5.5310430525559875,4.816657556218789,5.258424653203727,5.728375172237717,5.758891910897693,5.94309926900073,6.165177552078791,5.369416071993899,14649.598817639331,3993.6379266348868,8009.931824860099,23733.889033539384,12044632.969348928,2646893.6168155447,18511.58506466059,54118.345913103294,209481.15807984828,1488072.056046597,7261.680004604404,13889.003343369863,15405.626437685409,12987.940016165474,13376.756091395766,14631.39632151072,15504.236641773094,15039.18531119069,12653.019635354838,9768.359208119364,10484.041496342583,12334.597555953636,12802.240073225752,46605.450745780065,57738.86937843389,60291.69832722767,16357.288199445264,20948.924567916736,4147.2497942031,11882.198527683482,98.49410038126439,80.43919792298198,82.17973998277981,100.17885880526055,105.0974621306015,111.75988221367209,100.8873907030968,112.66153069807218,116.11649916589396,116.402533378185,114.4107880180502,109.11665017626643,112.82193958422795,112.6425744208043,102.18950121777064,106.0606399155709,107.83946678715539,110.63726444501845,110.65143957228436,114.28655888345443,108.53984824249383,110.587656498688,110.665428952072,55.16188805298351,62.846044509702594,80.5642701690061,104.18830863279116,106.47343131549079,107.05015450974507,104.49862358608229,0.24870901789506025,0.07326501616243437,0.35016883622838774,0.5339677929506166,118.66471584707348,27.07951227014585,0.38869744320939814,1.2100659721932012,4.191872705594062,15.172439694291088,0.20891875323916917,0.24852627121132473,0.27589711362447994,0.2441222008701924,0.24690719868680128,0.2762987606526655,0.2983607497697795,0.2756242041323219,0.23883496532021944,0.1933843440866253,0.2066047327936841,0.24079475215556737,0.2478294607939364,0.16023586398677836,0.18303232802807617,0.2109470226255417,0.2960464022435078,0.36845260994160134,0.09626782866670822,0.22813227510918305
5,6.221982461997082,4.910004872523726,5.174915694431557,5.400271232264353,6.904229687754531,6.371239851188787,5.0762402641153725,6.512622682982287,6.778978095351903,6.792774860062878,5.283756728578059,6.034741766269589,5.451645244372913,5.851060798857296,5.4913707953680735,6.172732214575587,5.974144819077683,6.176225245619177,6.363009140407188,6.8052546405900065,5.672806348529319,6.293943825681925,5.665525788926745,4.895561824735803,5.290443569714873,5.652174975518756,5.955090855468151,6.021537881670651,6.093568820501634,5.750630705730711,16755.274180649856,4553.271329180423,8398.361610755801,20796.4544470619,104951443.94547509,23486634.96819877,20010.388895142227,119200.56933586726,507697.95617476216,7168725.832330437,6037.0264670826455,11172.583569967617,13044.357835262297,10484.318603662512,10823.738272939414,12280.558684061345,13049.233743469567,12432.315127651767,9928.441393922682,7029.987585208395,7813.333928555848,9846.020935146857,10295.132531347283,50829.72283369727,56819.36352955314,65316.12662022552,12662.041790471256,17330.777272554,3625.0122670185706,8852.696419827163,102.67917257783846,72.66910316701052,80.54538758379806,108.30971860497502,116.74985794531858,115.54946406423792,108.77624336312672,118.09607921490675,119.19115597361507,121.70753248957953,118.44356130845651,117.05582140434956,118.48870970323321,118.02256448112576,110.9461933882878,111.50474679496234,113.34428381653294,116.6300651581701,119.24640001004319,121.30533767842377,114.31305308266188,117.48579442993406,117.01916453550103,58.410001665847325,63.43416274652724,79.67847726059912,108.73331598313997,113.91342153994162,111.06278891684845,109.5040635407841,0.27577836699801533,0.09675655843886241,0.3717916399230646,0.5189417192783622,1013.9882934541662,230.31914155842006,0.41310903651063313,2.4203407023878545,7.0895300295699055,75.90579729869556,0.188537579628253,0.22010525311002235,0.2578083180981163,0.2216325729126984,0.2251513432103594,0.26204205428958566,0.28103001428721675,0.25446166676959064,0.21437419375755767,0.16681886380164268,0.17557566378218065,0.2208576213612373,0.22643411226853138,0.17267677624354902,0.18353052495332656,0.21918328866223696,0.2562230503409049,0.32912237258428073,0.0969701657588624,0.1952310619601719
6,5.653724844153067,5.859268852274207,5.50367931437711,5.1985575172954235,6.677714671923234,6.582540143605223,5.128165805341733,6.244761958649513,6.53388022590509,7.195273355739402,5.607507654778917,5.9599670356125385,5.500813314233445,6.2705386175859,5.460212363678901,6.238264580845236,5.793274677901318,5.976299502988096,6.3219540964927825,6.46894219079991,5.9474081286548275,6.036733780226868,5.387771305603381,5.058069922687554,5.15514934041342,5.6761893111788595,5.76891344282766,6.103176914866784,5.797978178745443,5.500392914091623,17049.632853739648,8737.525924628117,8783.01037133921,21933.357889498642,919085517.6756958,127993791.14298494,19951.54912258635,396465.75787168834,2696187.208558703,33163261.025810465,5223.3287025872705,9513.803342377145,11900.936526980631,9361.678985465607,9258.79534927827,11032.27763148902,11630.658535716386,10785.671201725376,8165.151091817819,5225.45681526898,6089.802820226204,8138.438736663915,8470.727129807734,53518.59526712529,58611.8233603811,67397.26357664779,8986.220269055391,14585.746855272602,7657.851980002719,6716.400886740606,101.12357996553236,78.19258403646123,81.56349961242799,107.55131944346049,112.61174036041339,113.15321438529622,107.69818728094165,119.96340592354736,124.53096415401552,124.87606931261416,121.63956897070891,117.53443635439208,120.64232943301509,119.6367475318136,113.34975488643082,115.22530408500913,116.13780001069986,118.1672425988248,118.74974288384732,121.27850498131545,117.53660142416626,120.0645488183722,119.3367135449108,60.815729816804,62.884109962498826,80.17654816967423,111.26099916936016,116.5538598239537,113.87963340078804,110.23430680361747,0.29151080691730075,0.16323580924219627,0.3833084292505462,0.5890698622464244,8869.692705883357,1254.4460341016897,0.4269362230547347,7.001980811981518,35.1104266358352,362.5112841700017,0.19449402001620028,0.1902402708264755,0.23858112636043183,0.20147892885471005,0.19703120968168458,0.24107154628883373,0.2586166324316832,0.2287440536045475,0.18621906675454514,0.13360088114515123,0.14441277439667075,0.1969065570391199,0.19605452459184178,0.17578474895261972,0.18881267162156418,0.21696242233219534,0.1948187501968081,0.28306685721767605,0.15994516520197455,0.1567587342955505
7,6.162878445232742,4.723007692137246,4.897704936915074,6.069335756464565,7.461193279754904,6.915045559580758,5.64932816951728,7.065277081002147,7.46986086272011,7.182860404551412,5.724310807287924,5.600807272988464,5.496318541079051,5.932565425452995,5.738695390381628,5.812047979140269,5.3542271814982865,5.9607073607746806,5.899664497643847,6.202586230201713,6.173732268008291,6.3846650284139415,5.751934262870914,5.544748203685609,5.544748203685609,6.019592312295127,5.463190331283559,5.681135252174666,5.093389093924947,5.742168641453159,14463.923461506196,9411.770171608978,8423.894567739464,24444.564505354887,8053039156.163671,118008465.52944922,19334.52454451312,1642157.4845437407,14857269.48558799,149308196.16406032,8354.437950851754,11602.68706612701,14714.196633447786,11895.904912954134,11823.96227217935,13609.80056552904,13685.345683994252,13092.69651355161,10393.284197818215,7398.5473704699925,8167.315915795448,10312.859384945314,10599.808842527353,52610.16717673638,52610.16717673638,59176.028287503,10340.022739039028,14978.1522028508,9385.117421593306,8790.301352363575,101.59410647046982,77.09735133531854,82.21963255771571,107.09889169288958,115.65760753126173,116.09185633605321,111.49371150454583,121.46939541200423,128.53563557881995,125.76615007627426,121.10777186552937,118.62802237943242,124.17922488070057,122.09153035564356,113.14310770742924,115.835275336759,120.4208501154302,118.99711976388903,120.06822142995,122.20058896032711,119.6226786236621,123.4434494997051,121.66139633802324,65.63536878895135,65.63536878895135,82.02704266499568,113.88340268164825,116.89412795316065,112.39787980126101,113.18015908208959,0.24969815899696207,0.1583394034406567,0.37279757762565946,0.6907400995354539,79281.95539817348,1183.3431633996759,0.4415134399407804,22.237795181514606,167.0787652756503,1545.7656943204297,0.29477331496433323,0.22065374530824639,0.2760591418002465,0.23747067566325816,0.23070276403621245,0.27790405213969144,0.28404782224318426,0.25971214532985987,0.2204122807756728,0.17047322488703345,0.1759067547192087,0.22956571211005575,0.22343376806105394,0.17685886282630658,0.17685886282630658,0.1952981330989315,0.20736045195339028,0.2815572882595762,0.1881915493139707,0.18232519258832272
8,6.571253243718821,4.784477084034862,4.922680070313236,6.079528541775891,7.921443115241378,7.295862351969164,5.167450130233494,6.750493847732446,7.559762144432604,6.84106282197972,5.323934531445356,5.597429592123701,6.139982056227982,6.0551001060355345,5.671422987357891,5.997192578301579,5.946311209922882,6.359602758872109,6.3052668281102235,6.3668864782521695,6.34052640450131,6.141646956927274,5.878922160523843,5.872168079565031,6.132809804517383,6.425287696558545,5.585288526800395,5.761389626478558,5.24193537965402,5.743246685098871,14373.622974695236,10508.904285816503,8725.878447441766,30430.64492829919,70547447093.96742,60249561.06465477,19986.74925404735,7601168.102959173,83124166.27910437,710498861.49139,13444.191948025025,12995.10641031593,16583.0038603527,13767.603262297458,13588.679981657353,15281.017343004787,14815.560354713818,14642.296058157544,11957.815335453439,9008.568498197603,9684.034013408902,11800.680829201432,11978.040193382425,54041.05807263403,65170.079336853814,68123.87093660013,11968.301680520679,15891.436506710406,10078.450883751548,10237.787361173776,111.22332136992587,77.0779773617981,79.90439985955132,116.1742482323725,121.72538846263843,126.1807074356477,119.28600732853111,126.41501522995691,130.11103259344256,130.82820903958387,126.44430634700647,118.19840427781617,123.52999721557603,120.96490844427237,114.55504702744814,118.33363274153213,122.37332931776538,119.74724189101667,123.77594707503927,123.40349232277465,121.44821326450447,123.79900713878813,123.90283505967679,70.55985253308515,75.6716107776986,89.99152619466497,115.46976346353387,118.26641991185045,116.32223381868533,115.32680109480651,0.26028942349413714,0.20228075603442358,0.3863763816459716,0.9218550481284403,694783.2825399117,671.1290883663463,0.47834082736682243,84.5689844214036,828.6123345722209,7009.959788744956,0.4187463682639272,0.2576400909282827,0.3165189497117565,0.2800239475964118,0.27079110510041665,0.31472187887728303,0.30993397674218953,0.29616997650516025,0.2610712846086452,0.2125749133097865,0.2148321910342962,0.2560804146907725,0.254580741938661,0.1901736523389754,0.21131217887615492,0.23810893404719297,0.24680363607135813,0.30820935086851875,0.21670483490781087,0.21909855599994776
9,5.994481135258613,5.315236819453968,5.011047580229117,6.231799258479625,7.59703879661502,7.449822002902982,5.240458125466626,6.775550282236692,7.225718554762242,6.938937181008069,5.834382984528796,6.124927338799648,6.111852338175358,6.2841845896126225,6.026085413146271,6.244498875842156,6.254689688507385,6.325023091141362,6.339050691805907,6.692748242683062,6.451074751732319,6.28985386040632,6.152454623788301,5.921099749266738,6.117420880366169,6.397053608488874,5.944903035077087,5.937677570461447,5.476861491180436,5.922637736704575,12691.12307120476,6494.45738328615,8455.551810985486,239165.88994587044,617900590563.2576,295329696.41150826,18680.575867331765,35333020.83600713,457975684.3600265,3212735540.8385572,17256.684683183918,13012.914971723469,16697.466812110953,13952.685353173023,13568.138228920006,15091.164310178467,14211.741368107669,14533.49188429311,11792.11282015531,8880.532328558658,9702.35642448692,12033.62402763921,11974.152895017995,44684.06225599801,52543.17629656672,56796.290117763616,11838.116077473274,15748.467648848764,9761.451363068521,10157.471361706066,114.2565014365654,84.15234808858258,83.76566136411087,121.9515304168608,127.48442146102295,129.96834429853016,124.66105811707297,124.01659336929998,131.2849993511341,130.86653566261722,125.25329748221759,117.71242825033077,121.66391567593485,118.63528630173428,113.5142246206153,116.97762330954133,120.7009627866432,119.34271594610205,122.41382936035477,125.16185853956254,116.55000493295351,121.22034120932538,120.31398854551631,71.80918698909628,75.22146274946076,89.36950906331703,114.6485368977034,116.70747279632681,114.38993245490143,113.82286511434944,0.2530623499671409,0.12531506692885971,0.3874853655345033,4.254402056331931,6413151.827502146,3804.4676291420215,0.5146404570002099,379.8018483816297,4630.5480829106,31821.453608355387,0.5157972990978539,0.2561138352079727,0.3223795134074636,0.2848367623573435,0.27162258957566504,0.3145864629992595,0.30000150740669485,0.29615632224914995,0.257527639349745,0.2079479326196351,0.2132924022769477,0.2631912034348737,0.25749367260650563,0.16097930607949945,0.17342066045434243,0.20237261230967718,0.24590015944818214,0.30591967229578615,0.2136116354234875,0.21754210569287177
