model,stage,total_time_s,avg_time_per_row_s,n_candidates
statistics,seasonalnaive,7.58,,
statistics,naive,0.89,,
statistics,seasonalwa,7.83,,
arima,arima,45.16,,
lightgbm_iterative,train,3.1,0.000815,
lightgbm_iterative,forecast,8.66,0.002278,
lightgbm,hyperparameter_tuning,1080.27,,50.0
lightgbm,train_and_predict,0.02,0.0,
LSTM_Hybrid,"blocks=4,epochs=100",118.0,0.59,
LSTM_Hybrid,"blocks=4,epochs=200",213.0,1.065,
LSTM_Hybrid,"blocks=4,epochs=500",331.0,1.655,
LSTM_Hybrid,"blocks=8,epochs=100",67.0,0.335,
LSTM_Hybrid,"blocks=8,epochs=200",104.0,0.52,
LSTM_Hybrid,"blocks=8,epochs=500",171.0,0.855,
LSTM_Hybrid,"blocks=20,epochs=100",51.0,0.255,
LSTM_Hybrid,"blocks=20,epochs=200",53.0,0.265,
LSTM_Hybrid,"blocks=20,epochs=500",104.0,0.52,
LSTM_Hybrid,"blocks=40,epochs=100",20.0,0.1,
LSTM_Hybrid,"blocks=40,epochs=200",26.0,0.13,
LSTM_Hybrid,"blocks=40,epochs=500",41.98,0.2099,
LSTM_Vector,epochs=50,10.0,0.05,
LSTM_Vector,epochs=100,10.0,0.05,
LSTM_Vector,epochs=200,17.0,0.085,
LSTM_Vector,epochs=500,26.68,0.1334,
LSTM_Parallel,epochs=50,444.0,2.22,
LSTM_Parallel,epochs=100,761.0,3.805,
LSTM_Parallel,epochs=200,1434.0,7.17,
LSTM_Parallel,epochs=500,3707.65,18.5383,
LSTM,epochs=50,1592.63,7.9631,
LSTM,epochs=100,2310.93,11.5547,
LSTM,epochs=200,4122.84,20.6142,
LSTM,epochs=500,19977.0,99.885,
