L_REP_CTY,L_CP_COUNTRY,CBS_BASIS,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3
AT,AD,F,0.402,0.402,0.413,0.429,0.397,0.457,0.721,1.826,0.678,0.577,0.582,0.635,0.467,0.462,0.446,0.455,0.455,0.444,0.444
AT,AD,O,0.0,0.0,0.0,0.258,0.246,0.306,0.532,1.497,0.51,0.477,0.448,0.49,0.326,0.325,0.317,0.331,0.324,0.321,0.335
AT,AD,Q,0.0,0.0,0.0,-0.258,-0.246,-0.306,-0.532,-1.497,-0.51,-0.477,-0.448,-0.449,-0.282,-0.277,-0.279,-0.286,-0.279,-0.275,-0.274
AT,AD,U,0.404,0.404,0.413,0.171,0.151,0.15,0.188,0.328,0.328,0.1,0.134,0.185,0.185,0.184,0.166,0.168,0.181,0.169,0.198
AT,AE,F,294.099,294.099,294.099,400.188,278.531,508.78,508.78,290.848,509.549,277.415,232.015,394.698,328.101,318.295,497.911,460.795,576.36,359.963,432.969
AT,AE,O,127.054,81.447,81.447,72.466,75.58,77.987,69.551,74.023,90.92,79.173,68.501,70.014,70.014,42.953,43.213,47.252,51.552,80.064,83.078
AT,AE,Q,-62.536,-19.609,-68.597,-67.812,-71.992,-73.911,-65.925,-69.204,-87.858,-76.257,-76.257,-69.462,-56.731,-39.493,-37.616,-43.696,-35.473,-79.546,-79.546
AT,AE,U,296.911,514.105,225.503,332.376,206.539,434.868,417.786,221.643,421.69,201.158,201.158,325.236,271.369,278.801,460.294,417.099,417.099,280.417,350.341
AT,AF,F,0.042,0.042,0.03,0.033,0.027,0.307,0.277,0.271,0.724,0.008,0.902,1.023,1.063,1.043,1.004,1.022,1.022,0.965,0.994
AT,AF,O,0.0,0.0,0.0,0.0,0.0,0.277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT,AF,Q,0.0,0.0,0.0,0.0,0.0,-0.276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT,AF,U,0.042,0.042,0.03,0.033,0.027,0.03,0.277,0.277,0.724,0.008,0.902,1.023,1.063,1.043,1.004,1.022,0.966,0.965,0.994
AT,AI,Q,0.0,0.0,0.0,0.0,0.316,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT,AI,U,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT,AL,F,1762.235,1873.122,1943.429,2135.873,2033.288,2043.492,2053.297,2156.553,2064.696,2031.901,2028.318,2215.831,2264.632,2405.742,2355.541,2549.689,2549.689,2525.809,2693.603
AT,AL,O,210.447,206.969,215.561,358.043,341.084,358.048,349.223,349.223,328.079,387.125,365.133,402.658,406.061,430.024,406.59,549.088,533.764,518.786,279.503
AT,AL,Q,-205.426,-200.097,-208.736,-208.736,-339.939,-356.72,-348.298,-335.81,-335.81,-375.728,-354.385,-392.792,-392.792,-419.44,-396.358,-546.955,-531.609,-531.609,-277.815
AT,AL,U,1556.809,1673.025,1734.693,1779.506,1693.348,1686.772,1704.998,1704.998,1746.78,1656.173,1673.933,1823.039,1869.008,1986.301,1959.183,2002.733,1920.347,2009.617,2415.787
AT,AM,F,58.314,58.985,58.985,72.484,75.834,76.159,65.849,59.991,59.799,65.826,64.384,55.868,54.589,54.589,35.583,54.575,69.472,70.458,34.336
AT,AM,O,57.146,57.834,60.593,70.691,73.991,71.974,61.129,55.284,54.965,61.811,59.515,53.91,53.91,32.016,29.703,26.732,24.822,20.956,20.162
AT,AM,Q,-55.84,-56.524,-59.289,-70.658,-73.816,-71.37,-61.126,-55.281,-54.962,-61.807,-59.512,-59.512,-52.08,-32.005,-29.691,-26.72,-24.809,-20.944,-20.065
AT,AM,U,2.474,2.461,2.915,1.826,2.018,4.788,4.723,4.709,4.837,4.018,4.872,1.97,2.508,12.513,5.891,27.855,44.662,49.513,49.513
AT,AN,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT,AN,U,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT,AO,F,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.155,8.155,33.419,41.193,41.193,60.047,80.397
AT,AO,O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.143,32.743,32.743,0.0,59.049,79.613
