L_REP_CTY,L_CP_COUNTRY,CBS_BASIS,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3
AT,AD,F,0.402,0.6760760893885499,0.413,0.429,0.397,0.457,0.721,1.826,0.678,0.577,0.582,0.635,0.467,0.462,0.446,0.455,0.5033017425614239,0.444,0.679287593372506
AT,AD,O,0.0,0.0,0.0,0.258,0.246,0.306,0.532,1.497,0.51,0.477,0.448,0.49,0.326,0.325,0.317,0.331,0.324,0.321,0.335
AT,AD,Q,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,-0.258,-0.246,-0.306,-0.532,-1.497,-0.51,-0.477,-0.448,-0.449,-0.282,-0.277,-0.279,-0.286,-0.279,-0.275,-0.274
AT,AD,U,0.40336916870465456,0.404,0.413,0.171,0.151,0.15,0.188,0.328,0.14854407324469446,0.1,0.134,0.185,0.167421463651751,0.184,0.166,0.168,0.181,0.169,0.198
AT,AE,F,321.35636723455605,395.71038477930745,294.099,400.188,278.531,508.78,412.62878630558043,290.848,509.549,277.415,232.015,394.698,328.101,318.295,497.911,460.795,576.36,359.963,432.969
AT,AE,O,127.054,81.447,82.78423853892501,72.466,75.58,77.987,69.551,74.023,90.92,79.173,68.501,70.014,58.06702396770349,42.953,43.213,47.252,51.552,80.064,83.078
AT,AE,Q,-62.536,-19.609,-68.597,-67.812,-71.992,-73.911,-65.925,-69.204,-87.858,-76.257,-60.98606297029467,-69.462,-56.731,-39.493,-37.616,-43.696,-35.473,-79.546,-38.551778398798774
AT,AE,U,296.911,514.105,225.503,332.376,206.539,434.868,417.786,221.643,421.69,201.158,250.9222636109297,325.236,271.369,278.801,460.294,417.099,432.1846359163971,280.417,350.341
AT,AF,F,0.04200000000000004,0.04200000000000004,0.030000000000000027,0.03300000000000003,0.027000000000000024,0.30699999999999994,0.277,0.271,0.724,0.008000000000000007,0.902,1.023,1.063,1.043,1.004,1.022,0.9512509075557305,0.965,0.994
AT,AF,O,0.0,0.0,0.0,0.0,0.0,0.277,0.0,-6.938893903907228e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT,AF,Q,0.0,0.0,0.0,-0.0013158380357147573,0.0,-0.276,0.0,0.0,0.0,0.0,-0.0029668929268644034,0.0,0.0,-0.0013158380357147573,0.0,0.0,0.0,0.0,0.0
