L_REP_CTY,L_CP_COUNTRY,CBS_BASIS,2005-Q1,2005-Q2,2005-Q3,2005-Q4,2006-Q1,2006-Q2,2006-Q3,2006-Q4,2007-Q1,2007-Q2,2007-Q3,2007-Q4,2008-Q1,2008-Q2,2008-Q3,2008-Q4,2009-Q1,2009-Q2,2009-Q3,2009-Q4,2010-Q1,2010-Q2,2010-Q3,2010-Q4,2011-Q1,2011-Q2,2011-Q3,2011-Q4,2012-Q1,2012-Q2,2012-Q3,2012-Q4,2013-Q1,2013-Q2,2013-Q3,2013-Q4,2014-Q1,2014-Q2,2014-Q3,2014-Q4,2015-Q1,2015-Q2,2015-Q3,2015-Q4,2016-Q1,2016-Q2,2016-Q3,2016-Q4,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4
AT,AD,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,24.0,0.0,0.0,0.0,30.938,0.0,1.288,1.262,1.227,1.178,1.211,1.211,1.171,1.093,1.099,1.41,1.456,1.434,1.283,0.636,0.522,0.746,0.707,0.44,0.409,0.409
AT,AD,O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.272,0.0,0.0,0.0
AT,AD,Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.26,-0.204,-0.175,-0.16,-0.158,-0.147,-0.153,-0.13,-0.129,-1.39,-1.417,-1.404,-1.275,-0.52,-0.489,-0.47,-0.257,0.0,0.0,0.0
AT,AD,U,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.027,1.058,1.052,1.018,1.053,1.108,1.018,0.963,0.97,0.02,0.02,0.03,0.008,0.116,0.116,0.276,0.45,0.44,0.409,0.418
AT,AE,F,114.0,276.0,319.0,613.0,684.0,780.0,780.0,921.0,1099.0,1433.0,1631.0,1823.0,2015.0,2015.0,2146.0,2146.0,2002.0,1920.0,1920.0,1861.0,2114.0,2034.0,1914.0,1612.0,1508.0,1402.0,1319.0,971.0,767.0,724.0,724.0,250.0,193.0,269.0,280.0,378.277,277.379,277.379,261.441,265.78,236.857,228.535,315.162,257.247,480.723,415.843,400.951,315.671,378.519,372.3,553.489,314.974,425.608,254.297,394.968,312.961,451.448,1043.788,877.144,610.261
AT,AE,O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.436,166.567,165.52,141.403
AT,AE,Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-84.02,-89.661,-55.181,-89.456,-93.619,-22.816,-22.816,-20.952,-18.522,-18.522,-180.904,-147.366,-126.875,-161.342,-212.51,-204.973,-173.513,-162.409,-160.953,-49.87
AT,AE,U,0.0,275.0,321.0,611.0,611.0,812.0,861.0,1006.0,1037.0,1393.0,1566.0,1638.0,1638.0,1638.0,2004.0,2004.0,2006.0,1900.0,1814.0,1614.0,1809.0,1475.0,1426.0,1217.0,1084.0,962.0,977.0,649.0,504.0,436.0,322.0,153.0,136.0,136.0,234.0,234.617,235.142,218.178,214.35,176.276,152.838,138.875,259.981,167.789,387.103,393.027,377.934,294.719,359.998,282.988,372.585,167.607,298.732,92.955,182.458,107.989,277.935,881.379,716.191,560.391
AT,AF,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.033,0.038,0.102,0.086,0.014,0.002,0.015,0.015,0.057,0.022,0.021,0.06,0.06,0.027,0.027,0.037,0.036,0.036,0.024,0.039,0.053,0.056,0.053,0.051
AT,AF,O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.016,0.015,0.0
